TABLE_NAME;LOCAL_FIELD;REMOTE_FIELD;DATA_TYPE;FIELD_LENGTH;ACTIVE;FIELD_DEFINITION;VENDOR_ID;UNIT;TYPE_AGGREGATE;DATE_AGGREGATE
CELLSTS_4G;DL_PCKT_ERR_LOSS_R_DEN;C1526727935 + C1526727938+ C1526727941 + C1526727944 +C1526727947 + C1526727950 +C1526727953 +C1526727956 + C1526727959;NUMBER;12;1;L.Traffic.DL.PktUuLoss.Tot.QCI.1 + L.Traffic.DL.PktUuLoss.Tot.QCI.2 + L.Traffic.DL.PktUuLoss.Tot.QCI.3 + L.Traffic.DL.PktUuLoss.Tot.QCI.4 + L.Traffic.DL.PktUuLoss.Tot.QCI.5 + L.Traffic.DL.PktUuLoss.Tot.QCI.6 + L.Traffic.DL.PktUuLoss.Tot.QCI.7 + L.Traffic.DL.PktUuLoss.Tot.QCI.8 + L.Traffic.DL.PktUuLoss.Tot.QCI.9;6;%;SUM;SUM
CELLSTS_4G;CSFB_PREP_SR_NUM;C1526728322;NUMBER;12;1;L.CSFB.PrepSucc;6;%;SUM;SUM
CELLSTS_4G;CSFB_PREP_SR_DEN;C1526728321;NUMBER;12;1;L.CSFB.PrepAtt;6;%;SUM;SUM
CELLSTS_4G;SERV_ABN_RELR_NUM;C1526727546;NUMBER;12;1;L.E-RAB.AbnormRel;6;%;SUM;SUM
CELLSTS_4G;SERV_ABN_RELR_DEN;C1526727546+C1526727547+C1526741752;NUMBER;12;1;L.E-RAB.AbnormRel + L.E-RAB.NormRel + L.E-RAB.NormRel.IRatHOOut;6;%;SUM;SUM
CELLSTS_4G;ERAB_DCR_NUM;C1526726686;NUMBER;12;1;L.E-RAB.AbnormRel.QCI.1;6;%;SUM;SUM
CELLSTS_4G;ERAB_DCR_DEN;C1526726686+C1526726687;NUMBER;12;1;L.E-RAB.AbnormRel.QCI.1+L.E-RAB.NormRel.QCI.1;6;%;SUM;SUM
CELLSTS_4G;INTER_FRQ_HO_SR_NUM;C1526727000+C1526727006;NUMBER;12;1;L.HHO.IntraeNB.InterFreq.ExecSuccOut+L.HHO.IntereNB.InterFreq.ExecSuccOut;6;%;SUM;SUM
CELLSTS_4G;INTER_FRQ_HO_SR_DEN;C1526726999+C1526727005;NUMBER;12;1;L.HHO.IntraeNB.InterFreq.ExecAttOut + L.HHO.IntereNB.InterFreq.ExecAttOut;6;%;SUM;SUM
CELLSTS_4G;INTERRAT_HOW_SR_NUM;C1526726991;NUMBER;12;1;L.IRATHO.E2W.ExecSuccOut;6;%;SUM;SUM
CELLSTS_4G;INTERRAT_HOW_SR_DEN;C1526726990;NUMBER;12;1;L.IRATHO.E2W.ExecAttOut;6;%;SUM;SUM
CELLSTS_4G;INTERRAT_HOG_SR_NUM;C1526726994;NUMBER;12;1;L.IRATHO.E2G.ExecSuccOut;6;%;SUM;SUM
